#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2024-07-24
# Final Processing Time: 18:24:30
# Spline RMSE gcc_mean: 0.00334
# Spline RMSE gcc_50: 0.00366
# Spline RMSE gcc_75: 0.00369
# Spline RMSE gcc_90: 0.00389
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_75,2015-05-08,2015-05-13,2015-05-19,2015-05-07,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-20,0.31866,0.33558,0.37064,0.30999,0.42078
lacclair,DB,1000,rising,gcc_75,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.32174,0.33357,0.37112,0.31283,0.42606
lacclair,DB,1000,rising,gcc_75,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32059,0.33546,0.36948,0.31127,0.42119
lacclair,DB,1000,rising,gcc_75,2018-05-16,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.32389,0.33758,0.37576,0.31279,0.42474
lacclair,DB,1000,rising,gcc_75,2019-05-19,2019-05-23,2019-05-30,2019-05-18,2019-05-22,2019-05-29,2019-05-22,2019-05-25,2019-05-31,0.32118,0.33668,0.37051,0.31226,0.42756
lacclair,DB,1000,rising,gcc_75,2020-05-17,2020-05-20,2020-05-24,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-21,2020-05-25,0.31855,0.33719,0.36704,0.31297,0.42005
lacclair,DB,1000,rising,gcc_75,2021-05-08,2021-05-11,2021-05-16,2021-05-07,2021-05-10,2021-05-14,2021-05-10,2021-05-12,2021-05-17,0.32337,0.33863,0.37405,0.31395,0.42414
lacclair,DB,1000,rising,gcc_75,2022-05-08,2022-05-11,2022-05-16,2022-05-07,2022-05-10,2022-05-14,2022-05-10,2022-05-12,2022-05-17,0.32346,0.34071,0.374,0.31298,0.42774
lacclair,DB,1000,rising,gcc_75,2023-05-07,2023-05-11,2023-05-17,2023-05-05,2023-05-10,2023-05-16,2023-05-09,2023-05-13,2023-05-18,0.32342,0.3376,0.36679,0.31341,0.41974
lacclair,DB,1000,rising,gcc_75,2024-05-08,2024-05-12,2024-05-16,2024-05-07,2024-05-11,2024-05-15,2024-05-10,2024-05-13,2024-05-17,0.32282,0.3407,0.37152,0.31404,0.42169
lacclair,DB,1000,rising,gcc_50,2015-05-08,2015-05-13,2015-05-19,2015-05-06,2015-05-12,2015-05-18,2015-05-11,2015-05-15,2015-05-20,0.31712,0.33193,0.36312,0.30813,0.41454
lacclair,DB,1000,rising,gcc_50,2016-05-16,2016-05-19,2016-05-23,2016-05-15,2016-05-18,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.31952,0.33766,0.36566,0.311,0.41907
lacclair,DB,1000,rising,gcc_50,2017-05-14,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-16,2017-05-19,2017-05-24,0.32024,0.33181,0.3644,0.30988,0.41386
lacclair,DB,1000,rising,gcc_50,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31909,0.3351,0.36836,0.31181,0.41356
lacclair,DB,1000,rising,gcc_50,2019-05-19,2019-05-24,2019-06-01,2019-05-17,2019-05-23,2019-05-30,2019-05-21,2019-05-26,2019-06-02,0.32033,0.33658,0.36865,0.31091,0.41849
lacclair,DB,1000,rising,gcc_50,2020-05-17,2020-05-20,2020-05-25,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-21,2020-05-26,0.31685,0.33317,0.36564,0.31093,0.41021
lacclair,DB,1000,rising,gcc_50,2021-05-08,2021-05-11,2021-05-16,2021-05-06,2021-05-10,2021-05-15,2021-05-10,2021-05-13,2021-05-17,0.32236,0.33523,0.36513,0.31276,0.41591
lacclair,DB,1000,rising,gcc_50,2022-05-08,2022-05-11,2022-05-17,2022-05-07,2022-05-10,2022-05-15,2022-05-10,2022-05-13,2022-05-18,0.32051,0.33494,0.37103,0.31152,0.42054
lacclair,DB,1000,rising,gcc_50,2023-05-08,2023-05-12,2023-05-18,2023-05-06,2023-05-11,2023-05-16,2023-05-10,2023-05-14,2023-05-19,0.3215,0.33616,0.36426,0.31162,0.41541
lacclair,DB,1000,rising,gcc_50,2024-05-09,2024-05-12,2024-05-17,2024-05-07,2024-05-11,2024-05-15,2024-05-11,2024-05-13,2024-05-18,0.32242,0.33585,0.37177,0.31266,0.41674
lacclair,DB,1000,rising,gcc_mean,2015-05-08,2015-05-13,2015-05-19,2015-05-05,2015-05-12,2015-05-17,2015-05-10,2015-05-15,2015-05-20,0.31752,0.33225,0.36299,0.30792,0.41247
lacclair,DB,1000,rising,gcc_mean,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.31905,0.33013,0.36527,0.31063,0.41709
lacclair,DB,1000,rising,gcc_mean,2017-05-13,2017-05-17,2017-05-23,2017-05-12,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.31745,0.33228,0.36524,0.3094,0.41243
lacclair,DB,1000,rising,gcc_mean,2018-05-15,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.31905,0.33496,0.36944,0.3115,0.41557
lacclair,DB,1000,rising,gcc_mean,2019-05-19,2019-05-24,2019-05-31,2019-05-18,2019-05-23,2019-05-29,2019-05-21,2019-05-26,2019-06-01,0.31925,0.33625,0.36611,0.31045,0.4174
lacclair,DB,1000,rising,gcc_mean,2020-05-17,2020-05-20,2020-05-25,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-22,2020-05-26,0.3165,0.3326,0.36501,0.31088,0.41109
lacclair,DB,1000,rising,gcc_mean,2021-05-07,2021-05-11,2021-05-16,2021-05-05,2021-05-10,2021-05-15,2021-05-10,2021-05-12,2021-05-17,0.32026,0.33561,0.36605,0.31213,0.41511
lacclair,DB,1000,rising,gcc_mean,2022-05-08,2022-05-11,2022-05-16,2022-05-07,2022-05-10,2022-05-15,2022-05-10,2022-05-13,2022-05-17,0.32013,0.33493,0.36437,0.31116,0.41667
lacclair,DB,1000,rising,gcc_mean,2023-05-07,2023-05-12,2023-05-18,2023-05-05,2023-05-11,2023-05-16,2023-05-09,2023-05-13,2023-05-19,0.32017,0.33688,0.36402,0.31122,0.41461
lacclair,DB,1000,rising,gcc_mean,2024-05-08,2024-05-12,2024-05-16,2024-05-07,2024-05-11,2024-05-15,2024-05-10,2024-05-13,2024-05-17,0.32047,0.33689,0.3657,0.31221,0.41629
lacclair,DB,1000,falling,gcc_90,2023-10-01,2023-09-29,2023-09-23,2023-10-02,2023-09-30,2023-09-24,2023-09-29,2023-09-27,2023-09-22,0.32361,0.3357,0.36651,0.31526,0.4175
lacclair,DB,1000,falling,gcc_90,2022-09-30,2022-09-27,2022-09-18,2022-10-01,2022-09-28,2022-09-21,2022-09-28,2022-09-24,2022-09-12,0.32957,0.34284,0.37344,0.32091,0.42371
lacclair,DB,1000,falling,gcc_90,2021-09-29,2021-09-23,2021-09-14,2021-09-30,2021-09-24,2021-09-16,2021-09-26,2021-09-20,2021-09-12,0.33496,0.3493,0.37477,0.32794,0.42002
lacclair,DB,1000,falling,gcc_90,2020-09-23,2020-09-20,2020-09-15,2020-09-24,2020-09-21,2020-09-17,2020-09-21,2020-09-19,2020-09-14,0.32582,0.34045,0.36759,0.31781,0.41341
lacclair,DB,1000,falling,gcc_90,2019-10-04,2019-09-24,2019-09-12,2019-10-06,2019-09-26,2019-09-15,2019-09-30,2019-09-21,2019-09-11,0.32359,0.33968,0.3688,0.31465,0.41916
lacclair,DB,1000,falling,gcc_90,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.33077,0.34534,0.37294,0.32247,0.41994
lacclair,DB,1000,falling,gcc_90,2017-10-05,2017-09-28,2017-09-10,2017-10-07,2017-10-01,2017-09-13,2017-10-03,2017-09-24,2017-09-07,0.32647,0.34261,0.36958,0.31694,0.42112
lacclair,DB,1000,falling,gcc_90,2016-10-02,2016-09-29,2016-09-19,2016-10-03,2016-09-30,2016-09-22,2016-09-30,2016-09-27,2016-09-17,0.32538,0.34071,0.36928,0.32072,0.41526
lacclair,DB,1000,falling,gcc_90,2015-10-09,2015-10-04,2015-09-25,2015-10-10,2015-10-06,2015-09-28,2015-10-07,2015-10-02,2015-09-23,0.32234,0.34016,0.36704,0.31508,0.41561
lacclair,DB,1000,falling,gcc_90,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-17,0.323,0.33886,0.36762,0.31522,0.418
lacclair,DB,1000,falling,gcc_75,2023-10-01,2023-09-29,2023-09-23,2023-10-02,2023-09-30,2023-09-24,2023-09-29,2023-09-27,2023-09-22,0.32144,0.33349,0.36361,0.31318,0.41393
lacclair,DB,1000,falling,gcc_75,2022-10-01,2022-09-28,2022-09-20,2022-10-02,2022-09-29,2022-09-22,2022-09-29,2022-09-26,2022-09-18,0.3233,0.33677,0.36721,0.31372,0.41947
lacclair,DB,1000,falling,gcc_75,2021-10-01,2021-09-26,2021-09-15,2021-10-02,2021-09-27,2021-09-18,2021-09-29,2021-09-23,2021-09-14,0.32634,0.34137,0.36982,0.31992,0.41461
lacclair,DB,1000,falling,gcc_75,2020-09-23,2020-09-20,2020-09-15,2020-09-24,2020-09-21,2020-09-17,2020-09-21,2020-09-19,2020-09-14,0.32351,0.33787,0.36455,0.31566,0.40856
lacclair,DB,1000,falling,gcc_75,2019-10-04,2019-09-24,2019-09-12,2019-10-06,2019-09-26,2019-09-15,2019-09-30,2019-09-21,2019-09-10,0.32177,0.33797,0.36557,0.31267,0.41603
lacclair,DB,1000,falling,gcc_75,2018-10-04,2018-10-01,2018-09-24,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-23,0.32608,0.33982,0.36938,0.31839,0.41499
lacclair,DB,1000,falling,gcc_75,2017-10-05,2017-09-29,2017-09-11,2017-10-07,2017-10-01,2017-09-13,2017-10-03,2017-09-25,2017-09-08,0.32458,0.33937,0.36495,0.31593,0.41391
lacclair,DB,1000,falling,gcc_75,2016-10-03,2016-09-30,2016-09-22,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-20,0.31773,0.33338,0.3615,0.31229,0.4083
lacclair,DB,1000,falling,gcc_75,2015-10-09,2015-10-05,2015-09-24,2015-10-10,2015-10-06,2015-09-27,2015-10-07,2015-10-03,2015-09-22,0.32028,0.33507,0.36365,0.3135,0.41041
lacclair,DB,1000,falling,gcc_75,2014-09-29,2014-09-25,2014-09-19,2014-09-30,2014-09-26,2014-09-21,2014-09-27,2014-09-23,2014-09-18,0.3207,0.33634,0.36479,0.31392,0.41273
lacclair,DB,1000,falling,gcc_50,2023-10-01,2023-09-28,2023-09-22,2023-10-02,2023-09-29,2023-09-24,2023-09-29,2023-09-27,2023-09-21,0.31641,0.33522,0.36283,0.31226,0.41028
lacclair,DB,1000,falling,gcc_50,2022-10-01,2022-09-28,2022-09-21,2022-10-02,2022-09-29,2022-09-23,2022-09-30,2022-09-26,2022-09-19,0.31967,0.33314,0.36122,0.31013,0.4116
lacclair,DB,1000,falling,gcc_50,2021-10-01,2021-09-27,2021-09-16,2021-10-02,2021-09-28,2021-09-19,2021-09-29,2021-09-24,2021-09-15,0.32325,0.33679,0.36382,0.31616,0.40713
lacclair,DB,1000,falling,gcc_50,2020-09-23,2020-09-20,2020-09-14,2020-09-24,2020-09-21,2020-09-16,2020-09-21,2020-09-18,2020-09-13,0.31725,0.33122,0.36232,0.31228,0.40459
lacclair,DB,1000,falling,gcc_50,2019-09-26,2019-09-19,2019-09-09,2019-09-28,2019-09-21,2019-09-12,2019-09-23,2019-09-17,2019-09-07,0.33268,0.34498,0.3673,0.32536,0.40684
lacclair,DB,1000,falling,gcc_50,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.321,0.33482,0.36185,0.31325,0.40525
lacclair,DB,1000,falling,gcc_50,2017-09-23,2017-09-15,2017-09-03,2017-09-28,2017-09-17,2017-09-07,2017-09-18,2017-09-12,2017-08-29,0.34361,0.35342,0.37297,0.33639,0.40905
lacclair,DB,1000,falling,gcc_50,2016-10-03,2016-09-30,2016-09-22,2016-10-04,2016-10-01,2016-09-25,2016-10-01,2016-09-28,2016-09-20,0.31407,0.33,0.35807,0.30856,0.40387
lacclair,DB,1000,falling,gcc_50,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-06,2015-09-28,2015-10-06,2015-10-02,2015-09-22,0.32094,0.33659,0.35899,0.31472,0.40288
lacclair,DB,1000,falling,gcc_50,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-17,0.31935,0.33071,0.35947,0.31181,0.40611
lacclair,DB,1000,falling,gcc_mean,2023-10-01,2023-09-28,2023-09-22,2023-10-02,2023-09-29,2023-09-24,2023-09-29,2023-09-27,2023-09-21,0.31665,0.33533,0.36256,0.31253,0.40697
lacclair,DB,1000,falling,gcc_mean,2022-10-01,2022-09-28,2022-09-21,2022-10-02,2022-09-29,2022-09-23,2022-09-30,2022-09-26,2022-09-19,0.31991,0.33347,0.3612,0.3103,0.41087
lacclair,DB,1000,falling,gcc_mean,2021-10-01,2021-09-27,2021-09-16,2021-10-02,2021-09-28,2021-09-18,2021-09-29,2021-09-24,2021-09-15,0.32351,0.33689,0.36347,0.31656,0.40692
lacclair,DB,1000,falling,gcc_mean,2020-09-23,2020-09-20,2020-09-15,2020-09-24,2020-09-21,2020-09-16,2020-09-21,2020-09-18,2020-09-14,0.31713,0.33137,0.35863,0.31202,0.40369
lacclair,DB,1000,falling,gcc_mean,2019-09-26,2019-09-19,2019-09-09,2019-09-28,2019-09-21,2019-09-11,2019-09-23,2019-09-17,2019-09-07,0.33283,0.34452,0.36674,0.32569,0.40661
lacclair,DB,1000,falling,gcc_mean,2018-10-04,2018-10-01,2018-09-25,2018-10-05,2018-10-02,2018-09-27,2018-10-02,2018-09-29,2018-09-24,0.32137,0.33508,0.36224,0.31374,0.40617
lacclair,DB,1000,falling,gcc_mean,2017-09-24,2017-09-15,2017-09-03,2017-09-28,2017-09-17,2017-09-07,2017-09-18,2017-09-12,2017-08-29,0.34358,0.35315,0.37255,0.33639,0.4087
lacclair,DB,1000,falling,gcc_mean,2016-10-02,2016-09-29,2016-09-20,2016-10-03,2016-09-30,2016-09-23,2016-09-30,2016-09-27,2016-09-18,0.31838,0.33457,0.36058,0.31344,0.40444
lacclair,DB,1000,falling,gcc_mean,2015-10-08,2015-10-04,2015-09-25,2015-10-09,2015-10-05,2015-09-27,2015-10-06,2015-10-02,2015-09-22,0.32063,0.33564,0.35892,0.31488,0.40248
lacclair,DB,1000,falling,gcc_mean,2014-09-28,2014-09-25,2014-09-19,2014-09-29,2014-09-26,2014-09-21,2014-09-26,2014-09-23,2014-09-18,0.3192,0.33075,0.35983,0.31192,0.40544
